rank,location,total_violations,hotspot_score,severity,description
1,"Unnamed Road, Begur Chikkanahalli, Bengaluru, Karnataka. Pin-562149 (India)",4090,100.0,CRITICAL,High parking violation zone requiring enforcement attention.
2,"Kamaraj Road, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",3999,97.78,CRITICAL,High parking violation zone requiring enforcement attention.
3,"New Horizon College Road, New Horizon College of Engineering, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",3785,92.54,CRITICAL,High parking violation zone requiring enforcement attention.
4,"MBT Road, Devasandra Junction, KR Puram, Bengaluru, Karnataka. Pin-560036 (India)",3027,74.01,HIGH,High parking violation zone requiring enforcement attention.
5,"Dispensary Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",2670,65.28,HIGH,High parking violation zone requiring enforcement attention.
6,"Bellary Road, Vinayaka Nagar, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)",2639,64.52,HIGH,High parking violation zone requiring enforcement attention.
7,"5th Main Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",2604,63.67,HIGH,High parking violation zone requiring enforcement attention.
8,"Main Guard Cross Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",2549,62.32,HIGH,High parking violation zone requiring enforcement attention.
9,"New Horizon College Road, Embassy Tech Village, Devara Beesana Halli, Bengaluru, Karnataka. Pin-560103 (India)",2416,59.07,HIGH,High parking violation zone requiring enforcement attention.
10,"3rd Cross Road, Kempegowda Extension, Chickpete, Bengaluru, Karnataka. Pin-560009 (India)",2315,56.6,HIGH,High parking violation zone requiring enforcement attention.
11,"Mysore Road, Sri Krishna Rajendra Market, Chickpete, Bengaluru, Karnataka. Pin-560002 (India)",2122,51.88,HIGH,High parking violation zone requiring enforcement attention.
12,"80 Feet Ring Road, Orion, Brigade Gateway, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",2117,51.76,HIGH,High parking violation zone requiring enforcement attention.
13,"Meenakshi Koil Street, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",2111,51.61,HIGH,High parking violation zone requiring enforcement attention.
